ffprobe|mp3guessenc|mediainfo|file
LAME3.98|LAME3.98|LAME3.98|music/3 imported/1 good shift/10 - MIKE FOYLE PRES STATICA - Deadly Nightshade - Phynn Remix.mp3
LAME3.97|LAME3.97|LAME3.97|music/3 imported/1 good shift/10 - PHOTOGRAPHER AND ABSTRACT VISION - Zero Gravity.mp3
UNK|UNK|UNK|music/3 imported/1 good shift/10 - SIMON PATTERSON AND GREG DOWNEY FT. BO BRUCE - Come To Me.mp3
LAME3.97|LAME3.97|LAME3.97|music/3 imported/1 good shift/10 - THOMAS BRONZWAER - Still Waters - Original Mix.mp3
UNK|LAME3.93|LAME3.93|music/3 imported/1 good shift/11 - AIRBASE - We Might Fall.mp3
LAME3.97|LAME3.97|LAME3.97|music/3 imported/1 good shift/11 - MARK SHERRY - Gravitational Waves - Original Mix.mp3
LAME3.99r|LAME3.99.4|LAME3.99r|music/3 imported/1 good shift/11 - MAX GRAHAM vs MAARTEN DE JONG - Lekker - Original Mix.mp3
UNK|UNK|UNK|music/3 imported/1 good shift/3LAU, PARIS and SIMO ft. BRIGHT LIGHTS - Escape - Original Mix.mp3
UNK|LAME3.99.5|LAME3.99.5|music/3 imported/1 good shift/ALEX FREI FT. LAURA JAMES - Still Thinking Of You - Alfredo Sandoval Remix.mp3
UNK|LAME3.99.5|LAME3.99.5|music/3 imported/1 good shift/ANA MOURA - Dia De Folga - Djariep Gullez Rework.mp3
UNK|UNK|UNK|music/3 imported/1 good shift/AVRIL LAVIGNE - Losing Grip.mp3
UNK|UNK|UNK|music/3 imported/1 good shift/AVRIL LAVIGNE - Skater Boy.mp3
Lavf|encoder|UNK|music/3 imported/1 good shift/Adam Beyer, Bart Skils - Your Mind (Original Mix).mp3
UNK|UNK|UNK|music/3 imported/1 good shift/Art Of Trance Feat. Caroline Lavelle - Breathe (Dawnseekers Remix).mp3
UNK|LAME3.99.5|LAME3.99.5|music/3 imported/1 good shift/BENNY BENASSI and CHRIS BROWN - Beautifull People - Extended.mp3
UNK|UNK|UNK|music/3 imported/1 good shift/BRYAN FERRY - Slave To Love - Special 12 Remix.mp3
UNK|LAME3.98.2|LAME3.98.2|music/3 imported/1 good shift/CHAVE D'OURO - O Pai Da Criança - Nuno Neto Remix 2.mp3
UNK|LAME3.99.5|LAME3.99.5|music/3 imported/1 good shift/DAVID GUETTA ft. SIA - She Wolf - Radio Edit.mp3
UNK|UNK|UNK|music/3 imported/1 good shift/DEEP CARE - Blacks - Daniel Kandi Lifted Remix.mp3
UNK|LAME3.99.5|LAME3.99|music/3 imported/2 bad shift/01 - MARKUS SCHULZ FT. BROOKE TOMLINSON - In The Night.mp3
UNK|LAME3.99.5|LAME3.99|music/3 imported/2 bad shift/02 - GARETH EMERY AND BEN GOLD - Until We Meet Again - Extended Mix.mp3
UNK|LAME3.98.2|LAME3.98|music/3 imported/2 bad shift/03 - COSMIC GATE AND EMMA HEWITT - Going Home - Gareth Emery Remix.mp3
Lavf|LAME3.99.5|LAME3.99.5|music/3 imported/2 bad shift/03 - ESTIVA - Blossom - Extended Mix.mp3
UNK|LAME3.99.5|LAME3.99|music/3 imported/2 bad shift/04 - LANGE vs GARETH EMERY - Another You, Another Me - Solis And Sean Truby Remix.mp3
Lavf|LAME3.99.5|LAME3.99.5|music/3 imported/2 bad shift/04 - ORJAN NILSEN FT. RYKKA - The Hardest Part - Extended Mix.mp3
UNK|LAME3.99.5|LAME3.99|music/3 imported/2 bad shift/05 - ARMIN VAN BUUREN FT. ERIC VLOEIMANS - Embrace - Arty Extended Remix.mp3
UNK|LAME3.99.5|LAME3.99|music/3 imported/2 bad shift/05 - SUPER8 & TAB - Cosmo - Extended Mix.mp3
UNK|LAME3.99.5|LAME3.99|music/3 imported/2 bad shift/08 - VENOM ONE - Elysia - Extended Mix.mp3
UNK|LAME3.99.5|LAME3.99.5|music/3 imported/2 bad shift/08 - VINCENT DE MOOR - Fly Away - Khomha Extended Remix.mp3
UNK|LAME3.98.2|LAME3.98|music/3 imported/2 bad shift/09 - LANGE - Imagineer - Alex M.o.r.p.h Remix.mp3
UNK|LAME3.98.2|LAME3.98|music/3 imported/2 bad shift/11 - ID - Allen Watts - Gravity (original Mix).mp3
UNK|LAME3.99.5|UNK|music/3 imported/2 bad shift/11 - ROBERT NICKSON Feat. CAT MARTIN - Every Sun - Extended Mix.mp3
UNK|LAME3.99.5|LAME3.99|music/3 imported/2 bad shift/12 - SIMON PATTERSON FT. LUCY PULLIN - Now I Can Breathe Again - Extended Mix.mp3
UNK|LAME3.99.5|LAME3.99|music/3 imported/2 bad shift/13 - ARMIN VAN BUUREN FT. LYRICA ANDERSON - Gotta Be Love - Giuseppe Ottaviani Remix.mp3
Lavf|LAME3.99.5|LAME3.99.5|music/3 imported/2 bad shift/13 - JOHN O'CALLAGHAN - Choice Of The Angels.mp3
UNK|LAME3.99.5|LAME3.99|music/3 imported/2 bad shift/14 - CRAIG CONNELLY - Out Of Orbit.mp3
UNK|LAME3.99.5|LAME3.99|music/3 imported/2 bad shift/14 - GARETH EMERY FT. GAVRIELLE - Far From Home - Craig Connelly Extended Remix.mp3
UNK|LAME3.99.5|LAME3.99|music/3 imported/2 bad shift/14 - JOHN O'CALLAGHAN AND CLARE STAGG - Lies Cost Nothing - Will Atkinson Remix.mp3
UNK|LAME3.99.5|LAME3.99|music/3 imported/2 bad shift/17 - BRYAN KEARNEY - Awaken - Ucast Rewake.mp3
UNK|LAME3.99.5|LAME3.99|music/3 imported/2 bad shift/18 - SIMON PATTERSON AND MAGNUS - Evoke - Extended Mix.mp3
UNK|LAME3.99.5|LAME3.99|music/3 imported/2 bad shift/19 - RELOCATE vs ROBERT NICKSON - Proxima - Original Mix.mp3
UNK|LAME3.99.5|LAME3.99|music/3 imported/2 bad shift/20 - RELOCATE vs ROBERT NICKSON - Everest - Extended Mix.mp3
UNK|LAME3.98.2|LAME3.98|music/3 imported/2 bad shift/21 - DARREN PORTER - Terraforming - Original Mix.mp3
UNK|LAME3.99.5|LAME3.99|music/3 imported/2 bad shift/21 - RELOCATE vs ROBERT NICKSON - Jetpack - Original Mix.mp3
UNK|LAME3.98.2|LAME3.98|music/3 imported/2 bad shift/22 - RELOCATE vs ROBERT NICKSON - Vivid - Original Mix.mp3
UNK|LAME3.99.5|LAME3.99.5|music/3 imported/2 bad shift/22 - THE NOBLE SIX - Firewalker - Extended Mix.mp3
Lavf|LAME3.99.5|LAME3.99.5|music/3 imported/2 bad shift/23 - ECO & DRIFTMOON - Trust In The Wind - Extended Mix.mp3
UNK|LAME3.99.5|LAME3.99|music/3 imported/2 bad shift/27 - FACTOR B - Luna Therapy - Extended Mix.mp3
Lavf|LAME3.99.5|LAME3.99.5|music/3 imported/2 bad shift/ABOVE & BEYOND Feat. JUSTINE SUISSA - Alright Now - Club Mix.mp3
Lavc56.26|LAME3.99.5|UNK|music/3 imported/2 bad shift/ADELE - Hello - Paul Damixie Remix.mp3
Lavc57.3.|LAME3.99.5|LAME3.99.5|music/3 imported/2 bad shift/AVICII - Seek Bromance - Tim Berg Vocal Extended.mp3
Lavc57.48|LAME3.99.5|LAME|music/3 imported/2 bad shift/BASTILLE - Blame.mp3
Lavf|LAME3.99.5|LAMEU)|music/3 imported/2 bad shift/CALVIN HARRIS and SAM SMITH - Promises - Radio Mix.mp3
Lavf|LAME3.99.5|LAME3.99.5|music/3 imported/2 bad shift/CRAIG CONNELLY and DAN DOBSON ft. ELLE VEE - Battleground - Extended Breakbeat Mix.mp3
Lavf|LAME3.99.5|LAME3.99.5|music/3 imported/2 bad shift/CRAIG CONNELLY ft. KATE MILES - Lost Without You - Sied Van Riel Remix.mp3
UNK|LAME3.99.5|LAME3.99.5|music/3 imported/2 bad shift/Clean Bandit - Rockabye ft. Sean Paul & Anne.mp3
UNK|LAME3.99.5|LAME3.99.5|music/3 imported/2 bad shift/DANNY DARKO - Mad World - 2014 Deep House Cover.mp3
UNK|LAME3.98.4|LAME3.98.4|music/3 imported/2 bad shift/DAVID GUETTA ft. KID CUDI - Memories - Extended.mp3
Lavf|LAME3.99.5|LAME3.99.5|music/3 imported/2 bad shift/DENNIS SHEPERD and DIM3NSION - Amigos.mp3
Lavc56.41|LAME3.99.5|LAME3.99.5|music/3 imported/2 bad shift/DIOGO PIÇARRA - Dialeto.mp3
Lavc57.48|LAME3.99.5|LAME3.99.5|music/3 imported/2 bad shift/ED SHEERAN - Shape Of You - Puller and Calgos Remix.mp3
Lavf|LAME3.99.5|LAME3.99.5|music/3 imported/2 bad shift/ESTIVA - Blossom - Extended Mix.mp3
Lavf|LAME3.99.5|LAME3.99.5|music/3 imported/2 bad shift/FERRY CORSTEN & HALIENE - Wherever You Are - Extended Mix.mp3
Lavf|LAME3.99.5|LAME3.99.5|music/3 imported/2 bad shift/FERRY CORSTEN - Eternity - Instrumental.mp3
Lavf|LAME3.99.5|LAME3.99.5|music/3 imported/2 bad shift/FERRY CORSTEN - Eternity - Narrated.mp3
UNK|LAME3.99.5|LAME3.99.5|music/3 imported/2 bad shift/JUSTIN BIEBER ft. J BALVIN - Sorry - Spanish-latin Remix.mp3
Lavc57.24|LAME3.99.5|LAME3.99.|music/3 imported/2 bad shift/ROBIN SCHULZ ft. JAMES BLUNT - Ok - Radio Edit.mp3
