ffprobe|mp3guessenc|mediainfo|file
UNK|UNK|UNK|good - no shift/12 - ABOVE AND BEYOND - Sun In Your Eyes - Solarstate Remode.mp3
LAME3.98|LAME3.98|LAME3.98|good - no shift/12 - GARETH EMERY FT. BO BRUCE - U - Bryan Kearney Remix.mp3
LAME3.97|LAME3.97|LAME3.97|good - no shift/12 - GIUSEPPE OTTAVIANI - Aurora - Onair Mix.mp3
LAME3.97|LAME3.97|LAME3.97|good - no shift/12 - MENNO DE JONG - Turtle Paradise - Original Mix .mp3
LAME3.97|LAME3.97|LAME3.97|good - no shift/13 - ALEX MORPH AND PAUL VAN DYK - We Are - Original Mix.mp3
LAME3.97|LAME3.97|LAME3.97|good - no shift/13 - DAN STONE - Topaz - Original Mix.mp3
UNK|UNK|UNK|good - no shift/13 - NERY - Nineteen Ninety - Original Mix.mp3
LAME3.99r|LAME3.99.5|LAME3.99r|good - no shift/13 - TOM COLONTONIO FT. CIBON - The Sun - Original Mix.mp3
LAME3.97|LAME3.97|LAME3.97|good - no shift/14 - JAMES RIGBY - Night Owl - Original Mix.mp3
UNK|UNK|UNK|good - no shift/14 - PHOTOGRAPHER - Airport - Original Mix.mp3
LAME3.98r|LAME3.98.2|LAME3.98r|good - no shift/14 - TRANCEYE - Good Morning Sunshine - Original Mix.mp3
UNK|UNK|UNK|good - no shift/15 - ILLENIUM FT. JONI FATORA - Fortress - Seven Lions Roots Mix - DJ Estrela Edit.mp3
LAME3.97|LAME3.97|LAME3.97|good - no shift/15 - ORJAN NILSEN - Soulflayer - Original Mix.mp3
LAME3.97|LAME3.97|LAME3.97|good - no shift/15 - REORDER AND FERRY TAYLE - Tomorroworld - Extended Mix.mp3
UNK|LAME3.93||good - no shift/15 - SOLARSTONE - Lovers - Pure Mix.mp3
LAME3.98r|LAME3.98.2|LAME3.98r|good - no shift/15 - THOMAS BRONZWAER - Proteus - Original Mix.mp3
UNK|LAME3.97|LAME3.97|good - no shift/16 - ABOVE AND BEYOND - Sun In Your Eyes - Innersync Uplifting Remix.mp3
UNK|UNK|UNK|good - no shift/16 - ANDRE VISIOR & KAY STONE - Something For Your Mind - Giuseppe Ottaviani Remix.mp3
LAME3.99r|LAME3.99.3|LAME3.99r|good - no shift/16 - MARK W - Azrael - Extended Mix.mp3
UNK|UNK|UNK|good - no shift/16 - NU-NRG - Dreamland - Chris Metcalfe Bootleg.mp3
LAME3.98r|LAME3.98.2|LAME3.98r|good - no shift/16 - PAUL OAKENFOLD - Full Moon Party - Original Mix.mp3
LAME3.97|LAME3.97|LAME3.97|good - no shift/17 - AIRSCAPE AND PEETU S - Pianomatic - Airscape Festival Mix.mp3
UNK|UNK|UNK|good - no shift/17 - JOCHEN MILLER - Lost Connection - Andres Sanchez Uplifting Remix.mp3
LAME3.97|LAME3.97|LAME3.97|good - no shift/17 - ROBERT NICKSON - Somewhere In Spacetime - Extended Mix.mp3
UNK|UNK|UNK|good - no shift/18 - BEAT SERVICE - Cafe Del Mar - Original Mix.mp3
UNK|UNK|UNK|good - no shift/18 - DARREN PORTER - Cause And Effect - DJ Estrela Edit.mp3
LAME3.97|LAME3.97|LAME3.97|good - no shift/18 - ROYKSOPP - I Had This Thing - Solarstone Pure Mix.mp3
LAME3.97|LAME3.97|LAME3.97|good - no shift/19 - CRAIG CONNELLY FT KATE MILES - Lost Without You - Extended Mix.mp3
UNK|UNK|UNK|good - no shift/19 - PAUL VAN DYK - For An Angel - Live Global Gathering 2007 - DJ Estrela Edit.mp3
LAME3.97|LAME3.97|LAME3.97|good - no shift/20 - ALY & FILA WITH FERRY TAYLE - Concorde - Extended Mix.mp3
